,T,TM,Tm,SLP,H,PP,VV,V,VM,PM2.5
0,14.75,20.85,9.2,1023.95,45.0,0.0,16.1,4.2,16.75,18.644444444444446
1,13.7,19.0,10.0,1013.95,70.0,0.0,12.649999999999999,4.5,12.95,26.358823529411765
2,14.8,20.15,9.9,1017.8499999999999,69.0,0.0,16.1,4.9,18.6,10.700000000000001
3,13.05,16.4,9.5,1013.3,54.5,0.0,16.1,12.5,24.15,4.788888888888888
4,17.15,21.4,12.2,1012.2,48.5,0.0,16.1,11.75,33.25,8.733333333333334
5,17.799999999999997,23.35,16.15,1015.3,68.0,0.0,15.45,6.0,14.899999999999999,13.26
6,18.7,22.5,16.3,1010.3,76.5,0.0,7.800000000000001,5.85,17.6,18.73
7,19.299999999999997,23.65,16.950000000000003,1013.5999999999999,70.5,0.0,11.25,6.1,15.8,17.466666666666665
8,19.049999999999997,24.700000000000003,15.0,1011.7,69.0,0.0,11.75,7.85,17.6,16.77777777777778
9,23.35,29.1,20.45,1011.5,66.0,0.0,15.65,5.8500000000000005,15.8,16.32
10,18.0,26.5,12.1,1020.55,63.5,0.0,15.950000000000001,4.0,13.0,10.0
11,14.0,21.8,7.55,1021.4000000000001,22.5,0.0,16.1,7.0,12.95,8.423076923076923
12,17.15,25.2,10.5,1017.95,39.0,0.0,16.0,5.0,16.6,8.97
13,14.25,17.9,10.7,1011.0999999999999,76.5,0.0,8.45,4.85,15.8,26.866666666666664
14,15.05,18.65,12.05,1017.3,71.5,0.0,16.1,7.05,19.45,6.977777777777779
15,13.95,19.1,10.2,1017.6500000000001,59.5,0.0,16.1,9.1,23.9,9.92105263157895
16,16.85,21.950000000000003,13.05,1012.9,61.5,0.0,15.950000000000001,10.1,20.25,10.772222222222222
17,17.85,21.65,15.5,1014.55,66.0,0.0,15.700000000000001,7.1499999999999995,21.3,17.266666666666666
18,19.35,22.8,16.0,1008.55,68.5,0.0,13.25,6.55,16.65,17.200000000000003
19,18.15,23.6,14.75,1013.7,74.5,0.0,8.7,6.6000000000000005,16.75,15.355555555555554
20,17.200000000000003,19.9,16.4,1010.55,79.0,0.0,6.1,5.8500000000000005,15.0,15.953333333333335
21,22.9,28.85,19.95,1013.75,62.5,0.0,15.950000000000001,4.7,15.850000000000001,15.573333333333334
22,21.65,31.85,13.65,1019.5999999999999,42.0,0.0,15.950000000000001,3.1500000000000004,14.100000000000001,10.49
23,14.5,22.0,8.0,1016.95,37.5,0.0,16.1,3.35,10.95,17.90909090909091
24,18.75,26.4,11.649999999999999,1017.3,22.5,0.0,16.1,5.55,11.2,8.433333333333334
25,14.05,19.5,9.0,1008.05,70.5,0.0,14.4,5.8999999999999995,14.899999999999999,17.5
26,15.1,17.6,12.4,1016.5,64.5,0.0,16.1,8.05,22.15,4.489473684210526
27,14.3,19.450000000000003,10.55,1015.65,65.0,0.0,16.1,8.4,21.45,11.5375
28,17.9,24.15,13.350000000000001,1019.5,61.5,0.0,15.7,6.05,19.45,13.200000000000001
29,17.7,22.2,14.75,1013.05,72.0,0.0,10.850000000000001,6.300000000000001,16.75,21.488888888888887
30,19.0,23.6,16.7,1008.95,68.5,0.0,15.8,7.3,13.8,14.979999999999999
31,18.8,23.85,14.95,1013.9000000000001,71.5,0.0,13.25,6.300000000000001,15.8,13.042857142857143
32,18.55,23.35,14.95,1012.5,72.0,0.0,8.65,7.25,18.5,15.2
33,20.3,23.85,17.95,1014.5999999999999,75.0,0.0,11.45,6.550000000000001,17.65,20.500000000000004
34,24.95,36.400000000000006,16.1,1016.5,28.0,0.0,16.1,5.25,17.6,9.79
35,14.2,21.7,9.15,1016.35,56.5,0.0,14.05,3.45,11.850000000000001,30.1
36,14.600000000000001,22.9,8.95,1015.7,61.0,0.0,14.55,3.2,12.95,26.077777777777776
37,12.2,16.7,6.95,1012.7,66.5,20.955,16.1,6.05,19.45,5.852631578947367
38,13.0,18.1,10.5,1009.15,69.0,7.62,15.350000000000001,9.9,25.0,5.4
